Population,RunType,CRB,Strain,Dose,Infection,LogViralLoad
MT,Spring/Stream,Upper,M,2.3,0,NA
MT,Spring/Stream,Upper,M,2.3,0,NA
MT,Spring/Stream,Upper,M,2.3,0,NA
MT,Spring/Stream,Upper,M,2.3,0,NA
MT,Spring/Stream,Upper,M,2.3,0,NA
MT,Spring/Stream,Upper,M,2.3,0,NA
MT,Spring/Stream,Upper,M,2.3,1,5.972330758
MT,Spring/Stream,Upper,M,2.3,1,5.240363357
MT,Spring/Stream,Upper,M,3.3,0,NA
MT,Spring/Stream,Upper,M,3.3,1,5.365653437
MT,Spring/Stream,Upper,M,3.3,1,5.084266109
MT,Spring/Stream,Upper,M,3.3,0,NA
MT,Spring/Stream,Upper,M,3.3,1,5.122350974
MT,Spring/Stream,Upper,M,3.3,1,6.226818708
MT,Spring/Stream,Upper,M,3.3,0,NA
MT,Spring/Stream,Upper,M,3.3,0,NA
MT,Spring/Stream,Upper,M,4.3,1,6.614416943
MT,Spring/Stream,Upper,M,4.3,1,5.352829121
MT,Spring/Stream,Upper,M,4.3,1,4.42790277
MT,Spring/Stream,Upper,M,4.3,0,NA
MT,Spring/Stream,Upper,M,4.3,1,5.859973441
MT,Spring/Stream,Upper,M,4.3,1,6.157533291
MT,Spring/Stream,Upper,M,4.3,0,NA
MT,Spring/Stream,Upper,M,4.3,0,NA
MT,Spring/Stream,Upper,M,5.3,1,6.318359042
MT,Spring/Stream,Upper,M,5.3,1,5.378848313
MT,Spring/Stream,Upper,M,5.3,1,4.199305726
MT,Spring/Stream,Upper,M,5.3,1,4.058600045
MT,Spring/Stream,Upper,M,5.3,1,7.64087899
MT,Spring/Stream,Upper,M,5.3,1,6.296273649
MT,Spring/Stream,Upper,M,5.3,1,6.168886195
MT,Spring/Stream,Upper,M,5.3,0,NA
MT,Spring/Stream,Upper,U,2.3,0,NA
MT,Spring/Stream,Upper,U,2.3,0,NA
MT,Spring/Stream,Upper,U,2.3,0,NA
MT,Spring/Stream,Upper,U,2.3,0,NA
MT,Spring/Stream,Upper,U,2.3,0,NA
MT,Spring/Stream,Upper,U,2.3,0,NA
MT,Spring/Stream,Upper,U,2.3,0,NA
MT,Spring/Stream,Upper,U,2.3,0,NA
MT,Spring/Stream,Upper,U,3.3,0,NA
MT,Spring/Stream,Upper,U,3.3,0,NA
MT,Spring/Stream,Upper,U,3.3,1,5.963949722
MT,Spring/Stream,Upper,U,3.3,0,NA
MT,Spring/Stream,Upper,U,3.3,1,5.188448045
MT,Spring/Stream,Upper,U,3.3,1,3.857626194
MT,Spring/Stream,Upper,U,3.3,0,NA
MT,Spring/Stream,Upper,U,3.3,0,NA
MT,Spring/Stream,Upper,U,4.3,0,NA
MT,Spring/Stream,Upper,U,4.3,1,3.980711844
MT,Spring/Stream,Upper,U,4.3,1,4.839473352
MT,Spring/Stream,Upper,U,4.3,0,NA
MT,Spring/Stream,Upper,U,4.3,1,5.150253459
MT,Spring/Stream,Upper,U,4.3,1,7.619977364
MT,Spring/Stream,Upper,U,4.3,0,NA
MT,Spring/Stream,Upper,U,4.3,1,6.225615599
MT,Spring/Stream,Upper,U,5.3,0,NA
MT,Spring/Stream,Upper,U,5.3,1,4.118148659
MT,Spring/Stream,Upper,U,5.3,1,6.611388725
MT,Spring/Stream,Upper,U,5.3,1,5.236240282
MT,Spring/Stream,Upper,U,5.3,1,4.064911292
MT,Spring/Stream,Upper,U,5.3,1,6.082517049
MT,Spring/Stream,Upper,U,5.3,1,5.969967017
MT,Spring/Stream,Upper,U,5.3,1,6.012319007
MT,Spring/Stream,Upper,L,2.3,0,NA
MT,Spring/Stream,Upper,L,2.3,0,NA
MT,Spring/Stream,Upper,L,2.3,0,NA
MT,Spring/Stream,Upper,L,2.3,0,NA
MT,Spring/Stream,Upper,L,2.3,0,NA
MT,Spring/Stream,Upper,L,2.3,0,NA
MT,Spring/Stream,Upper,L,2.3,0,NA
MT,Spring/Stream,Upper,L,2.3,0,NA
MT,Spring/Stream,Upper,L,3.3,0,NA
MT,Spring/Stream,Upper,L,3.3,0,NA
MT,Spring/Stream,Upper,L,3.3,0,NA
MT,Spring/Stream,Upper,L,3.3,0,NA
MT,Spring/Stream,Upper,L,3.3,1,4.576820412
